product_link,title,sku,upc,project_type,skill,difficulty,merged_info,description,review_count,star_rating,image_url,local_path,occasion,season,theme,fiber_content,yarn_weight,thread_size,full_description
https://herrschners.com/herrschners-sunrise-stroll-tote-free-download/,Herrschners Sunrise Stroll Tote,F01730,,Tote,Crochet,Easy,F01730  Tote Crochet Easy,"Accessorize in style with this textured two-toned tote! The sweet and simple design beautifully blends color and texture for a fun and functional way to carry your essentials on your sunny day adventures. The easy crochet tote pattern can be stitched in the bright and bold shades of Herrschners Cottage Cotton shown, or you can mix and match your favorite hues for a look that’s entirely your own. Skill Level: Easy Size: 10 x 12"" (25 x 30cm) Materials: Herrschners® Cottage Cotton yarn • 0020 Fired Clay—1 ball • 0003 Tame Teal—1 ball Hook: US size H-8 (5mm) crochet hook or size needed to obtain gauge Extras: Yarn needle, 1½"" (3.8cm) button",0,0,https://cdn11.bigcommerce.com/s-wgzqwlngdf/images/stencil/728x728/products/60558/124856/F01730__83321.1773269697.jpg?c=1,../data/images/Herrschners_Sunrise_Stroll_Tote.jpg,,,,,,,"Herrschners Sunrise Stroll Tote Accessorize in style with this textured two-toned tote! The sweet and simple design beautifully blends color and texture for a fun and functional way to carry your essentials on your sunny day adventures. The easy crochet tote pattern can be stitched in the bright and bold shades of Herrschners Cottage Cotton shown, or you can mix and match your favorite hues for a look that’s entirely your own. Skill Level: Easy Size: 10 x 12"" (25 x 30cm) Materials: Herrschners® Cottage Cotton yarn • 0020 Fired Clay—1 ball • 0003 Tame Teal—1 ball Hook: US size H-8 (5mm) crochet hook or size needed to obtain gauge Extras: Yarn needle, 1½"" (3.8cm) button F01730  Tote Crochet Easy"
https://herrschners.com/village-yarn-blue-burst-pot-holders-free-download/,Village Yarn Blue Burst Pot Holders,F01729,,Pot Holders,Crochet,Easy,F01729  Pot Holders Crochet Easy,"Brighten your kitchen with a splash of color! These pretty and practical pot holders pair solid and multi shades of Village Yarn Craft Cotton yarn to create a beautiful blend of color and texture that makes each petite project a work of hand-stitched art. Stitch the easy crochet pot holder pattern in the blue shades shown, or change up the colors to match your kitchen décor. The pair also makes a thoughtful housewarming gift! Skill Level: Easy Size: 9 x 9"" (22.9 x 22.9cm) Materials: Village Yarn™ Craft Cotton • 5090 Seaside—2 balls • 5007 Blueberry—2 balls Hook: US size I-9 (5.5mm) crochet hook or size needed to obtain gauge Extras: Yarn needle, stitch markers",0,0,https://cdn11.bigcommerce.com/s-wgzqwlngdf/images/stencil/728x728/products/60551/124840/F01729__02334.1772686135.jpg?c=1,../data/images/Village_Yarn_Blue_Burst_Pot_Holders.jpg,,,,,,,"Village Yarn Blue Burst Pot Holders Brighten your kitchen with a splash of color! These pretty and practical pot holders pair solid and multi shades of Village Yarn Craft Cotton yarn to create a beautiful blend of color and texture that makes each petite project a work of hand-stitched art. Stitch the easy crochet pot holder pattern in the blue shades shown, or change up the colors to match your kitchen décor. The pair also makes a thoughtful housewarming gift! Skill Level: Easy Size: 9 x 9"" (22.9 x 22.9cm) Materials: Village Yarn™ Craft Cotton • 5090 Seaside—2 balls • 5007 Blueberry—2 balls Hook: US size I-9 (5.5mm) crochet hook or size needed to obtain gauge Extras: Yarn needle, stitch markers F01729  Pot Holders Crochet Easy"
https://herrschners.com/willow-yarns-garden-song-shawlette-free-download/,Willow Yarns Garden Song Shawlette,F01728,,Shawl,Knit,Easy,F01728  Shawl Knit Easy,"Be ready for backyard garden parties with this lovely little shawlette. The easy knit design trimmed with a pattern of lacy diamonds pairs well with a sundress or a long-sleeve tee for a more casual look. Stitch it in the Wildflowers shade shown or pick another self-striping colorway of Willow Yarns Sylvan yarn for a look entirely your own. Skill Level: Easy Size: •Depth in center: 12"" (30cm) • Width from end to end: 48"" (122cm) Materials: Willow Yarns™ Sylvan • 1003 Wildflowers—3 balls Needles: • US size 10 (6mm) 32"" circular needle or size needed to obtain gauge • US size 11 (8mm) 32"" circular needle (cast on only) Extras: Yarn needle",0,0,https://cdn11.bigcommerce.com/s-wgzqwlngdf/images/stencil/728x728/products/60456/124706/F01728__08639.1771984002.jpg?c=1,../data/images/Willow_Yarns_Garden_Song_Shawlette.jpg,,,,,,,"Willow Yarns Garden Song Shawlette Be ready for backyard garden parties with this lovely little shawlette. The easy knit design trimmed with a pattern of lacy diamonds pairs well with a sundress or a long-sleeve tee for a more casual look. Stitch it in the Wildflowers shade shown or pick another self-striping colorway of Willow Yarns Sylvan yarn for a look entirely your own. Skill Level: Easy Size: •Depth in center: 12"" (30cm) • Width from end to end: 48"" (122cm) Materials: Willow Yarns™ Sylvan • 1003 Wildflowers—3 balls Needles: • US size 10 (6mm) 32"" circular needle or size needed to obtain gauge • US size 11 (8mm) 32"" circular needle (cast on only) Extras: Yarn needle F01728  Shawl Knit Easy"
https://herrschners.com/herrschners-english-garden-doily-free-download/,Herrschners English Garden Doily,F01727,,Doily,Crochet,Easy,F01727  Doily Crochet Easy,"No green thumb is needed to grow a garden of tiny blossoms to beautify your tabletop. This easy crochet doily pattern blends vintage lace with cheery flower appliqués for a tabletop garden that modernizes the vintage aesthetic for today’s modern stitchers. Stitch the doily in the shades of Herrschners Afghan Yarn shown, or switch up the flower color to match your décor. Skill Level: Easy Size: 26"" (66cm). Materials: Herrschners Afghan Yarn • 0019 Cream—2 balls • 0034 Grass—1 ball • 0041 Blossom—1 ball • 0042 French Pink—1 ball • 0027 Light Teal—1 ball • 0026 Marigold—1 ball Hook: US size E-4 (3.5mm) crochet hook or size needed to obtain gauge Extras: Yarn needle, locking stitch markers",0,0,https://cdn11.bigcommerce.com/s-wgzqwlngdf/images/stencil/728x728/products/60446/124700/F01727__68891.1771465314.jpg?c=1,../data/images/Herrschners_English_Garden_Doily.jpg,,,,,,,"Herrschners English Garden Doily No green thumb is needed to grow a garden of tiny blossoms to beautify your tabletop. This easy crochet doily pattern blends vintage lace with cheery flower appliqués for a tabletop garden that modernizes the vintage aesthetic for today’s modern stitchers. Stitch the doily in the shades of Herrschners Afghan Yarn shown, or switch up the flower color to match your décor. Skill Level: Easy Size: 26"" (66cm). Materials: Herrschners Afghan Yarn • 0019 Cream—2 balls • 0034 Grass—1 ball • 0041 Blossom—1 ball • 0042 French Pink—1 ball • 0027 Light Teal—1 ball • 0026 Marigold—1 ball Hook: US size E-4 (3.5mm) crochet hook or size needed to obtain gauge Extras: Yarn needle, locking stitch markers F01727  Doily Crochet Easy"
https://herrschners.com/herrschners-shamrock-glow-blanket-free-download/,Herrschners Shamrock Glow Blanket,F01726,,Blanket,Crochet,Easy,F01726  St. Patrick's Day Blanket Crochet Easy,"It’s your lucky day! This free easy crochet blanket pattern makes stitching fun and easy with self-striping yarn for fewer ends to weave in. Herrschners Worsted 8 Celebrate yarn makes color changes effortless as you crochet a field of shell stitches embellished with a hint of magical sparkle. Stitch it in the St. Patrick’s Day colorway shown, or pick any other shade from the Herrschners Worsted 8 line to make this dazzling design your own! Skill Level: Easy Size: 38 x 58"" (97 x 147cm) Materials: Herrschners Worsted 8 Celebrate Sparkle • 4002 Lucky Charm—4 balls Hook: US size J-10 (6mm) crochet hook or size needed to obtain gauge Extras: Yarn needle",0,0,https://cdn11.bigcommerce.com/s-wgzqwlngdf/images/stencil/728x728/products/60355/124592/F01726__86159.1770775776.jpg?c=1,../data/images/Herrschners_Shamrock_Glow_Blanket.jpg,St. Patrick's Day,,,,,,"Herrschners Shamrock Glow Blanket It’s your lucky day! This free easy crochet blanket pattern makes stitching fun and easy with self-striping yarn for fewer ends to weave in. Herrschners Worsted 8 Celebrate yarn makes color changes effortless as you crochet a field of shell stitches embellished with a hint of magical sparkle. Stitch it in the St. Patrick’s Day colorway shown, or pick any other shade from the Herrschners Worsted 8 line to make this dazzling design your own! Skill Level: Easy Size: 38 x 58"" (97 x 147cm) Materials: Herrschners Worsted 8 Celebrate Sparkle • 4002 Lucky Charm—4 balls Hook: US size J-10 (6mm) crochet hook or size needed to obtain gauge Extras: Yarn needle F01726  St. Patrick's Day Blanket Crochet Easy"
https://herrschners.com/herrschners-tilework-bottle-carriers-set-of-2-free-download/,Herrschners Tilework Bottle Carriers - Set of 2,F01725,,Fashion Accessories & Novelties,Crochet,Intermediate,F01725  Fashion Accessories & Novelties Crochet Intermediate,"Stay hydrated on the go with these cute and colorful bottle carriers! Made in two different colorways, this pair of easy crochet bottle carriers pair solid and multi shades of Herrschners Afghan Yarn for an eye-catching look in any colorway you choose. Constructed from square motifs, these fun and easy designs are designed to fit 16-20 oz bottles and feature a long carrying handle for hands-free carrying. Stitch the design in the vibrant colors shown, or try other colorways for a one-of-a-kind look. Skill Level: Easy Size: Fits 16-20 oz bottle Materials: Herrschners Afghan Yarn Teal Version: • 0001 White—1 ball • 0028 Teal—1 ball • 1009 Indigo Tide—1 ball Pink Version: • 0001 White—1 ball • 0042 French Pink—1 ball • 1008 Summer Sunset—1 ball Hook: US size E-4 (3.5mm) crochet hook or size needed to obtain gauge Extras: Yarn needle",0,0,https://cdn11.bigcommerce.com/s-wgzqwlngdf/images/stencil/728x728/products/60339/124379/F01725__65310.1770233678.jpg?c=1,../data/images/Herrschners_Tilework_Bottle_Carriers_-_Set_of_2.jpg,,,,,,,"Herrschners Tilework Bottle Carriers - Set of 2 Stay hydrated on the go with these cute and colorful bottle carriers! Made in two different colorways, this pair of easy crochet bottle carriers pair solid and multi shades of Herrschners Afghan Yarn for an eye-catching look in any colorway you choose. Constructed from square motifs, these fun and easy designs are designed to fit 16-20 oz bottles and feature a long carrying handle for hands-free carrying. Stitch the design in the vibrant colors shown, or try other colorways for a one-of-a-kind look. Skill Level: Easy Size: Fits 16-20 oz bottle Materials: Herrschners Afghan Yarn Teal Version: • 0001 White—1 ball • 0028 Teal—1 ball • 1009 Indigo Tide—1 ball Pink Version: • 0001 White—1 ball • 0042 French Pink—1 ball • 1008 Summer Sunset—1 ball Hook: US size E-4 (3.5mm) crochet hook or size needed to obtain gauge Extras: Yarn needle F01725  Fashion Accessories & Novelties Crochet Intermediate"
https://herrschners.com/willow-yarns-muted-melody-cowl-free-download/,Willow Yarns Muted Melody Cowl,F01724,,Cowl,Crochet,Intermediate,F01724  Cowl Crochet Intermediate,"Cozy up to colorwork with this exquisitely detailed design. The intermediate knit cowl uses a repeating slip stitch pattern worked two shades at a time to create the fanciful filigree pattern in a gradient of muted hues. Stitched in Willow Yarns Farmhouse Cotton yarn, the light weight cowl is perfect for spring days. Skill Level: Intermediate Size: 7 x 44"" (17.8 x 112cm) Materials: Willow Yarns™ Farmhouse Cotton • 0030 Dusk—2 balls • 0053 Viridian—2 balls • 0049 Dusty Rose—2 balls Needles: US size 10 (6mm) straight needles or size needed to obtain gauge Extras: Yarn needle",0,0,https://cdn11.bigcommerce.com/s-wgzqwlngdf/images/stencil/728x728/products/60217/124300/F01724__86923.1769558151.jpg?c=1,../data/images/Willow_Yarns_Muted_Melody_Cowl.jpg,,,,,,,"Willow Yarns Muted Melody Cowl Cozy up to colorwork with this exquisitely detailed design. The intermediate knit cowl uses a repeating slip stitch pattern worked two shades at a time to create the fanciful filigree pattern in a gradient of muted hues. Stitched in Willow Yarns Farmhouse Cotton yarn, the light weight cowl is perfect for spring days. Skill Level: Intermediate Size: 7 x 44"" (17.8 x 112cm) Materials: Willow Yarns™ Farmhouse Cotton • 0030 Dusk—2 balls • 0053 Viridian—2 balls • 0049 Dusty Rose—2 balls Needles: US size 10 (6mm) straight needles or size needed to obtain gauge Extras: Yarn needle F01724  Cowl Crochet Intermediate"
https://herrschners.com/willow-yarns-lovey-dovey-dishcloths-free-download/,Willow Yarns Lovey Dovey Dishcloths,F01723,,Dishcloth,Crochet,Intermediate,F01723  Dishcloth Crochet Intermediate,"Add an extra dash of love to the heart of your home! This lovely and lacy set of heart-shaped dishcloths re-creates the look of vintage valentines in modern shades of Willow Meadow yarn for a fresh take on the doily aesthetic. The mix of solid and striped motifs in this intermediate crochet pattern makes a set of six unique designs while keeping the set coordinated as a lovely gift for Valentine’s Day, a bridal shower, or a housewarming party. Skill Level: Intermediate Size: 9"" (22.9cm) dia. Materials: Willow Yarns™ Meadow • 0023 Tidepool—3 balls • 0021 Poppy—3 balls • 0034 Coral Bell—3 balls Hook: US size H-8 (5mm) crochet hook or size needed to obtain gauge Extras: Yarn needle",0,0,https://cdn11.bigcommerce.com/s-wgzqwlngdf/images/stencil/728x728/products/60178/124145/F01723__61286.1769036480.jpg?c=1,../data/images/Willow_Yarns_Lovey_Dovey_Dishcloths.jpg,,,,,,,"Willow Yarns Lovey Dovey Dishcloths Add an extra dash of love to the heart of your home! This lovely and lacy set of heart-shaped dishcloths re-creates the look of vintage valentines in modern shades of Willow Meadow yarn for a fresh take on the doily aesthetic. The mix of solid and striped motifs in this intermediate crochet pattern makes a set of six unique designs while keeping the set coordinated as a lovely gift for Valentine’s Day, a bridal shower, or a housewarming party. Skill Level: Intermediate Size: 9"" (22.9cm) dia. Materials: Willow Yarns™ Meadow • 0023 Tidepool—3 balls • 0021 Poppy—3 balls • 0034 Coral Bell—3 balls Hook: US size H-8 (5mm) crochet hook or size needed to obtain gauge Extras: Yarn needle F01723  Dishcloth Crochet Intermediate"
https://herrschners.com/soho-sugar-sky-earflap-hat-free-download/,Soho Sugar Sky Earflap Hat,F01722,,Hat,Crochet,Easy,F01722  Hat Crochet Easy,"Keep cozy and colorful on cold-weather days. This easy crochet earflap hat enlivens your winter wardrobe with the bright and bold colorways of Soho Lively Bold yarn. This self-striping light weight yarn makes this easy crochet hat pattern even easier, as they stripes appear effortlessly as you stitch—with only a few ends to weave in! Top it off with a fun faux fur pom-pom for a playful finish. Skill Level: Easy Size: 20"" (51cm) circumference Materials: Soho Lively Bold • 4005 Mermaid—2 balls Hook: US size G-6 (4mm) crochet hook or size needed to obtain gauge Extras: Yarn needle, tapestry needle, 2"" faux fur pom-pom",0,0,https://cdn11.bigcommerce.com/s-wgzqwlngdf/images/stencil/728x728/products/60106/123927/F01722__81485.1768438552.jpg?c=1,../data/images/Soho_Sugar_Sky_Earflap_Hat.jpg,,,,,,,"Soho Sugar Sky Earflap Hat Keep cozy and colorful on cold-weather days. This easy crochet earflap hat enlivens your winter wardrobe with the bright and bold colorways of Soho Lively Bold yarn. This self-striping light weight yarn makes this easy crochet hat pattern even easier, as they stripes appear effortlessly as you stitch—with only a few ends to weave in! Top it off with a fun faux fur pom-pom for a playful finish. Skill Level: Easy Size: 20"" (51cm) circumference Materials: Soho Lively Bold • 4005 Mermaid—2 balls Hook: US size G-6 (4mm) crochet hook or size needed to obtain gauge Extras: Yarn needle, tapestry needle, 2"" faux fur pom-pom F01722  Hat Crochet Easy"
https://herrschners.com/herrschners-stitch-switch-tote-free-download/,Herrschners Stitch & Switch Tote,F01721,,Bags & Totes,Crochet,Easy,F01721  Bags & Totes Crochet Easy,"Be tote-ally on trend with this granny square bag. The quick and easy crochet pattern made from two large granny square motifs is stitched in bright and bold shades of Herrschners Supreme Worsted yarn for a fabulously fun way to carry your essentials. Stitch it in the pretty-in-pink colorway shown, or mix it up with your favorite colors for a look entirely your own. Skill Level: Easy Size: 13 x 14"" (33 x 36cm) Materials: Herrschners® Supreme Worsted • 0054 Paradise—1 ball • 0024 Pearl—1 ball • 0020 Onyx—1 ball • 0055 Papaya—1 ball • 0004 Geranium—1 ball Hook: US size H-8 (5mm) crochet hook or size needed to obtain gauge Extras: Yarn needle",0,0,https://cdn11.bigcommerce.com/s-wgzqwlngdf/images/stencil/728x728/products/60068/123829/F01721__21661.1767884382.jpg?c=1,../data/images/Herrschners_Stitch__Switch_Tote.jpg,,,,,,,"Herrschners Stitch & Switch Tote Be tote-ally on trend with this granny square bag. The quick and easy crochet pattern made from two large granny square motifs is stitched in bright and bold shades of Herrschners Supreme Worsted yarn for a fabulously fun way to carry your essentials. Stitch it in the pretty-in-pink colorway shown, or mix it up with your favorite colors for a look entirely your own. Skill Level: Easy Size: 13 x 14"" (33 x 36cm) Materials: Herrschners® Supreme Worsted • 0054 Paradise—1 ball • 0024 Pearl—1 ball • 0020 Onyx—1 ball • 0055 Papaya—1 ball • 0004 Geranium—1 ball Hook: US size H-8 (5mm) crochet hook or size needed to obtain gauge Extras: Yarn needle F01721  Bags & Totes Crochet Easy"
https://herrschners.com/herrschners-fin-tastic-purse-free-download/,Herrschners Fin-tastic Purse,F01708,,Tote,Crochet,Intermediate,F01708  Tote Crochet Intermediate,"Swim around town with a fishy friend to carry your essentials. This adorable amigurumi-inspired purse shaped like a fish makes a fashion accessory fabulously fun for any beach lover or wanna-be mermaid. The intermediate crochet design stitched pairs Herrschners Cheerful DK yarn with the self-striping Herrschners Sweet Swirls yarn to create rainbow scales and fins without having to change colors with every row. Skill Level: Intermediate Size: Approx 12 x 8½"" (30 x 21.5cm) Materials: Herrschners Cheerful DK • 0007 Yellow Daisy—1 ball Herrschners Sweet Swirls • 0002 Beach Ball—1 ball Hook: US size H-8 (5mm) crochet hook or size needed to obtain gauge Extras: Yarn needle, locking stitch markers, two 15mm safety eyes, fiberfill (small amount for eyes)",0,0,https://cdn11.bigcommerce.com/s-wgzqwlngdf/images/stencil/728x728/products/59949/122956/F01708__92586.1765952738.jpg?c=1,../data/images/Herrschners_Fin-tastic_Purse.jpg,,,,,,,"Herrschners Fin-tastic Purse Swim around town with a fishy friend to carry your essentials. This adorable amigurumi-inspired purse shaped like a fish makes a fashion accessory fabulously fun for any beach lover or wanna-be mermaid. The intermediate crochet design stitched pairs Herrschners Cheerful DK yarn with the self-striping Herrschners Sweet Swirls yarn to create rainbow scales and fins without having to change colors with every row. Skill Level: Intermediate Size: Approx 12 x 8½"" (30 x 21.5cm) Materials: Herrschners Cheerful DK • 0007 Yellow Daisy—1 ball Herrschners Sweet Swirls • 0002 Beach Ball—1 ball Hook: US size H-8 (5mm) crochet hook or size needed to obtain gauge Extras: Yarn needle, locking stitch markers, two 15mm safety eyes, fiberfill (small amount for eyes) F01708  Tote Crochet Intermediate"
https://herrschners.com/soho-sunset-serenade-set-free-download/,Soho Sunset Serenade Set,F01707,,Hat,Knit,Easy,F01707  Hat Knit Easy,"Keep cozy and colorful on cold-weather days with coordinating set. This free easy knit hat and scarf pattern stitched in Soho Haze yarn uses simple slip stitch patterns to create a stair step geometric pattern that looks intricate but is easy enough for beginners. Stitch the pair in the icy blue and orange shades shown to brighten your look, or switch to shades to match your winter wardrobe. Skill Level: Easy Size: Hat: 20"" (51cm) circumference x 8"" (20.3cm) tall Scarf: 6 x 60"" (15.2 x 152cm) Materials: Soho Haze Yarn • 1108 Creamsicle—2 balls • 1118 Iceberg—2 balls Needles: • US size 8 (5mm) 16"" circular needle or size needed to obtain gauge • US size 8 (5mm) dpn or size needed to obtain gauge Extras: Yarn needle, stitch markers",0,0,https://cdn11.bigcommerce.com/s-wgzqwlngdf/images/stencil/728x728/products/59948/122965/F01707__08005.1765999357.jpg?c=1,../data/images/Soho_Sunset_Serenade_Set.jpg,,,,,,,"Soho Sunset Serenade Set Keep cozy and colorful on cold-weather days with coordinating set. This free easy knit hat and scarf pattern stitched in Soho Haze yarn uses simple slip stitch patterns to create a stair step geometric pattern that looks intricate but is easy enough for beginners. Stitch the pair in the icy blue and orange shades shown to brighten your look, or switch to shades to match your winter wardrobe. Skill Level: Easy Size: Hat: 20"" (51cm) circumference x 8"" (20.3cm) tall Scarf: 6 x 60"" (15.2 x 152cm) Materials: Soho Haze Yarn • 1108 Creamsicle—2 balls • 1118 Iceberg—2 balls Needles: • US size 8 (5mm) 16"" circular needle or size needed to obtain gauge • US size 8 (5mm) dpn or size needed to obtain gauge Extras: Yarn needle, stitch markers F01707  Hat Knit Easy"
https://herrschners.com/herrschners-shadow-petals-shawl-free-download/,Herrschners Shadow Petals Shawl,F01706,,Shawl,Crochet,Intermediate,F01706  Shawl Crochet Intermediate,"This fabulously fun shawl is pretty in pink and oh-so chic! The bright and bold design crocheted in Herrschners Supreme Worsted yarn pairs vivid pink with dramatic black and light gray stripes that end in a playful looped edge. Carrying the yarn along the top edge greatly reduces the number of ends to weave in as you stitch this intermediate crochet shawl. Not a pink fan? Swap out that color with your favorite vibrant shade of Herrschners Supreme Worsted yarn for a look entirely your own. Skill Level: Intermediate Size: 72 x 27"" (183 x 69cm) Materials: Herrschners Supreme Worsted • 0004 Geranium—3 balls • 0020 Onyx—2 balls • 0022 Grey—2 balls Hook: US size G-6 (4mm) crochet hook or size needed to obtain gauge Extras: Yarn needle, stitch marker",0,0,https://cdn11.bigcommerce.com/s-wgzqwlngdf/images/stencil/728x728/products/59367/122619/F01706__11107.1765404240.jpg?c=1,../data/images/Herrschners_Shadow_Petals_Shawl.jpg,,,,,,,"Herrschners Shadow Petals Shawl This fabulously fun shawl is pretty in pink and oh-so chic! The bright and bold design crocheted in Herrschners Supreme Worsted yarn pairs vivid pink with dramatic black and light gray stripes that end in a playful looped edge. Carrying the yarn along the top edge greatly reduces the number of ends to weave in as you stitch this intermediate crochet shawl. Not a pink fan? Swap out that color with your favorite vibrant shade of Herrschners Supreme Worsted yarn for a look entirely your own. Skill Level: Intermediate Size: 72 x 27"" (183 x 69cm) Materials: Herrschners Supreme Worsted • 0004 Geranium—3 balls • 0020 Onyx—2 balls • 0022 Grey—2 balls Hook: US size G-6 (4mm) crochet hook or size needed to obtain gauge Extras: Yarn needle, stitch marker F01706  Shawl Crochet Intermediate"
https://herrschners.com/willow-yarns-gingham-wreath-towel-free-download/,Willow Yarns Gingham Wreath Towel,F01705,,Towels,Crochet,Easy,F01705  Christmas Towels Crochet Easy,"Stitch up some holiday spirit for the kitchen. This festive towel design pairs a berry-covered wreath with holiday gingham for a fun and functional holiday project. The easy crochet towel pattern stitched in Willow Yarns Meadow yarn is a thoughtful gift for the holiday hostess, but don’t forget to make one for yourself, too! Skill Level: Easy Size: 14 x 20"" (36 x 51cm) Materials: Willow Yarns™ Meadow • 0002 Cream—3 balls • 0032 Pines—1 ball • 0033 Dark Cherry—1 ball Hook: US size 7 (4.5mm) crochet hook or size needed to obtain gauge Extras: Yarn needle two 15mm matching buttons (optional)",0,0,https://cdn11.bigcommerce.com/s-wgzqwlngdf/images/stencil/728x728/products/59347/122039/F01705__93548.1764740258.jpg?c=1,../data/images/Willow_Yarns_Gingham_Wreath_Towel.jpg,Christmas,,,,,,"Willow Yarns Gingham Wreath Towel Stitch up some holiday spirit for the kitchen. This festive towel design pairs a berry-covered wreath with holiday gingham for a fun and functional holiday project. The easy crochet towel pattern stitched in Willow Yarns Meadow yarn is a thoughtful gift for the holiday hostess, but don’t forget to make one for yourself, too! Skill Level: Easy Size: 14 x 20"" (36 x 51cm) Materials: Willow Yarns™ Meadow • 0002 Cream—3 balls • 0032 Pines—1 ball • 0033 Dark Cherry—1 ball Hook: US size 7 (4.5mm) crochet hook or size needed to obtain gauge Extras: Yarn needle two 15mm matching buttons (optional) F01705  Christmas Towels Crochet Easy"
https://herrschners.com/department-71-snowflake-scarf-free-download/,Department 71 Snowflake Scarf,F01704,,Scarf,Crochet,Intermediate,F01704  Scarf Crochet Intermediate,"Bundle up in a blizzard of sparkling snowflakes! Stitched in the shimmering Department 71 Holiday Lights yarn, this lacy snowflake scarf keeps you cozy and colorful with a dash of winter whimsy and a mighty metallic sparkle. The intermediate crochet scarf pattern is worked one snowflake motif at a time, then joined together before adding scalloped border for a fun and fabulous finish. Skill Level: Intermediate Size: Approx 12 x 74"" (30 x 188cm) Materials: Department 71 Holiday Lights • 0001 Snowball—2 balls • 0007 Turquoise—2 balls Hook: US size H-8 (5mm) crochet hook or size needed to obtain gauge Extras: Yarn needle, monofilament (for hangers)",0,0,https://cdn11.bigcommerce.com/s-wgzqwlngdf/images/stencil/728x728/products/58810/121845/F01704__78805.1764035777.jpg?c=1,../data/images/Department_71_Snowflake_Scarf.jpg,,,,,,,"Department 71 Snowflake Scarf Bundle up in a blizzard of sparkling snowflakes! Stitched in the shimmering Department 71 Holiday Lights yarn, this lacy snowflake scarf keeps you cozy and colorful with a dash of winter whimsy and a mighty metallic sparkle. The intermediate crochet scarf pattern is worked one snowflake motif at a time, then joined together before adding scalloped border for a fun and fabulous finish. Skill Level: Intermediate Size: Approx 12 x 74"" (30 x 188cm) Materials: Department 71 Holiday Lights • 0001 Snowball—2 balls • 0007 Turquoise—2 balls Hook: US size H-8 (5mm) crochet hook or size needed to obtain gauge Extras: Yarn needle, monofilament (for hangers) F01704  Scarf Crochet Intermediate"
https://herrschners.com/herrschners-frosted-fir-shawl-free-download/,Herrschners Frosted Fir Shawl,F01703,,Shawl,Crochet,Easy,F01703  Christmas Shawl Crochet Easy,"Sparkling stripes keep you warm with a hint of winter whimsy. This stunning shawl transforms a simple design into a chic statement piece by stitching the easy crochet pattern in Herrschners Worsted 8 Holiday Sparkle yarn. The self-striping yarn creates effortless color changes—without all those ends to weave in! Choose your favorite shimmering colorway to make this shawl your own. Skill Level: Easy Size: 69 x 24"" (175 x 61cm) Materials: Herrschners Worsted 8 Holiday Sparkle • 4006 Flocked Tree—2 balls Hook: US size H-8 (5mm) crochet hook or size needed to obtain gauge Extras: Yarn needle",0,0,https://cdn11.bigcommerce.com/s-wgzqwlngdf/images/stencil/728x728/products/58799/121811/F01703__19012.1763613972.jpg?c=1,../data/images/Herrschners_Frosted_Fir_Shawl.jpg,Christmas,,,,,,"Herrschners Frosted Fir Shawl Sparkling stripes keep you warm with a hint of winter whimsy. This stunning shawl transforms a simple design into a chic statement piece by stitching the easy crochet pattern in Herrschners Worsted 8 Holiday Sparkle yarn. The self-striping yarn creates effortless color changes—without all those ends to weave in! Choose your favorite shimmering colorway to make this shawl your own. Skill Level: Easy Size: 69 x 24"" (175 x 61cm) Materials: Herrschners Worsted 8 Holiday Sparkle • 4006 Flocked Tree—2 balls Hook: US size H-8 (5mm) crochet hook or size needed to obtain gauge Extras: Yarn needle F01703  Christmas Shawl Crochet Easy"
https://herrschners.com/herrschners-autumn-spice-beanie-free-download/,Herrschners Autumn Spice Beanie,F01702,,Hat,Knit,Easy,F01702  Autumn Hat Knit Easy,"Spice up your cold-weather wardrobe! Wonderfully soft and warm, this classic striped beanie stitched in autumnal tones of Herrschners Supreme Worsted yarn makes the perfect fall fashion accessory. Or, you can switch up the look by stitching the intermediate knit pattern in whimsical winter hues perfect for snowy days. Skill Level: Intermediate Size: 21"" (53cm) circumference Materials: Herrschners® Supreme Worsted • 0006 Penny—1 ball • 0018 Royal Purple—1 ball • 0055 Papaya—1 ball Needles: • US size 9 (5.5mm) 16"" circular needle or size needed to obtain gauge • US size 9 (5.5mm) double pointed needles or size needed to obtain gauge Extras: Yarn needle, stitch makers, pom-pom maker (optional)",0,0,https://cdn11.bigcommerce.com/s-wgzqwlngdf/images/stencil/728x728/products/58762/121705/F01702__48712.1762994336.jpg?c=1,../data/images/Herrschners_Autumn_Spice_Beanie.jpg,,Autumn,,,,,"Herrschners Autumn Spice Beanie Spice up your cold-weather wardrobe! Wonderfully soft and warm, this classic striped beanie stitched in autumnal tones of Herrschners Supreme Worsted yarn makes the perfect fall fashion accessory. Or, you can switch up the look by stitching the intermediate knit pattern in whimsical winter hues perfect for snowy days. Skill Level: Intermediate Size: 21"" (53cm) circumference Materials: Herrschners® Supreme Worsted • 0006 Penny—1 ball • 0018 Royal Purple—1 ball • 0055 Papaya—1 ball Needles: • US size 9 (5.5mm) 16"" circular needle or size needed to obtain gauge • US size 9 (5.5mm) double pointed needles or size needed to obtain gauge Extras: Yarn needle, stitch makers, pom-pom maker (optional) F01702  Autumn Hat Knit Easy"
